name,fecha_de_nacimiento,dni,password,fecha_contratacion,num_seg_social,horas_trabajadas,horas_contrato,horas_extras
"Juan Pérez","1990-05-15","12345678A","pass123","2023-01-10","281234567890",160.0,160.0,0.0
"María García","1985-08-22","87654321B","secure456","2022-06-15","289876543210",170.5,160.0,10.5
"Carlos Ruiz","1992-11-30","11223344C","temp789","2024-02-01","281112223334",80.0,80.0,0.0
"Ana Belén","1988-03-12","44332211D","ana2024!","2021-09-20","284443332221",165.0,160.0,5.0
"Luis Martínez","1995-07-04","55667788E","luis_pwd","2023-11-15","285556667778",155.0,160.0,0.0
"Elena Sanz","1993-01-25","99887766F","sanz_2024","2020-03-10","289998887776",160.0,160.0,0.0
"Roberto Gómez","1982-12-05","22334455G","rober_G","2019-05-01","282223334445",180.0,160.0,20.0
"Lucía Fernández","1997-09-18","66554433H","lucia_secret","2024-01-05","286665554443",120.0,120.0,0.0
"Diego López","1991-04-22","77889900I","diego_pass","2022-08-12","287778889990",162.5,160.0,2.5
"Marta Jimeno","1989-06-30","33445566J","marta_j9","2021-12-01","283334445556",160.0,160.0,0.0
"Jorge Castro","1994-02-14","55443322K","castro.X","2023-03-15","285554443332",168.0,160.0,8.0
"Sofía Méndez","1987-10-10","99001122L","sof_2023","2020-07-22","289990001112",140.0,160.0,0.0
"Andrés Villa","1996-12-25","33669911M","villa_pwd","2024-01-10","283336669991",160.0,160.0,0.0
"Patricia Toro","1991-08-05","88224466N","toro_88","2021-04-30","288882224446",175.0,160.0,15.0
"Raúl Cano","1984-03-20","11559977O","cano_raul","2018-11-12","281115559997",160.0,160.0,0.0
"Beatriz Soler","1992-05-18","44771133P","bea_sol","2022-02-28","284447771113",160.0,160.0,0.0
"Hugo Moyano","1998-11-02","77113355Q","hugo_m98","2023-09-01","287771113335",160.0,160.0,0.0
"Silvia Pardo","1986-06-14","22995588R","silvia_P","2017-01-15","282229995558",164.0,160.0,4.0
"Marcos Rivas","1993-02-28","66330044S","rivas_M","2023-05-20","286663330004",160.0,160.0,0.0
"Inés Caballero","1990-09-12","11883377T","ines_cab","2021-10-05","281118883337",172.0,160.0,12.0
"Álvaro Vega","1983-04-17","44002299U","vega_A","2016-08-14","284440002229",160.0,160.0,0.0
